year,fips,state_fips,county_fips,edu_universe_25_plus,no_schooling,high_school_diploma,ged,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree
2014,23003,23,003,50780,1095,17244,2809,5335,5930,1931,635,201
2014,23005,23,005,206325,875,39637,5724,18218,60582,23623,6492,4308
2014,23011,23,011,87206,769,24680,4493,8241,12615,6131,1023,850
2014,23019,23,019,107218,847,29570,5394,11043,17928,6025,1354,1581
2014,23031,23,031,145374,361,40024,7609,15004,28380,10364,1244,1340
2014,24001,24,001,50990,308,18926,3144,4478,4206,3838,444,471
2014,24003,24,003,382220,2717,83527,12158,28094,91435,42876,8267,5727
2014,24005,24,005,570350,6557,136348,21768,39115,122997,61599,16115,11282
2014,24009,24,009,61369,132,17477,1319,5279,10010,6005,744,702
2014,24013,24,013,114866,550,32208,3944,9361,24211,10580,1708,1004
2014,24015,24,015,69662,418,26104,3324,4429,8299,4385,721,437
2014,24017,24,017,101662,576,29355,2845,8304,17529,8514,1133,1047
2014,24021,24,021,164841,1665,35425,3789,14876,38896,18766,3912,4252
2014,24025,24,025,170935,1402,41294,5515,13951,35032,17669,2850,2250
2014,24027,24,027,207600,925,28206,2507,11374,61065,43513,10739,9089
2014,24031,24,031,707146,9676,84407,8407,38394,189721,134803,45612,43291
2014,24033,24,033,602567,7047,140012,17515,35274,109258,60074,9139,8315
2014,24037,24,037,72686,535,20189,2951,6322,10852,8339,1127,700
2014,24043,24,043,103483,1020,33500,5501,8464,12490,6877,1206,339
2014,24045,24,045,62981,265,19229,1383,3788,9867,6303,1241,832
2014,24510,24,510,423249,4014,112583,21413,20285,65113,40171,12418,9383
2014,25001,25,001,165103,744,34318,3611,13760,41287,23199,4476,4229
2014,25003,25,003,92753,927,26131,2887,9241,16002,9063,2030,1752
2014,25005,25,005,383521,9224,101738,16961,32273,63624,27213,5348,2542
2014,25009,25,009,527425,8563,117241,14314,43736,122465,61969,13209,7688
2014,25011,25,011,52477,459,12273,1822,6689,9298,7773,960,794
2014,25013,25,013,311505,5643,75750,12294,31260,48683,29764,3893,3492
2014,25015,25,015,98718,1027,20111,3620,10163,21073,13359,2620,4881
2014,25017,25,017,1094885,13790,203946,23714,69508,291388,192280,40885,48507
2014,25021,25,021,481301,4929,89062,9392,35811,138784,75904,19870,15201
2014,25023,25,023,349464,2864,91211,9202,37771,74655,33049,7769,3538
2014,25025,25,025,523125,13220,104830,15359,25671,122477,66759,19675,12301
2014,25027,25,027,554043,5476,146193,19842,49340,123027,51269,9571,7607
2014,26005,26,005,76882,812,27007,3831,6271,11943,4321,608,513
2014,26017,26,017,75869,878,23797,2667,7236,9875,2935,1149,328
2014,26021,26,021,107209,1266,27407,4193,11581,17145,8861,1950,902
2014,26025,26,025,91215,692,27632,4729,7400,13221,4174,814,646
2014,26037,26,037,51312,187,12444,1263,5673,10344,3576,1081,1032
2014,26045,26,045,75415,383,20157,2406,7328,12663,3887,1003,554
2014,26049,26,049,278165,3264,75125,12095,30690,35923,15750,2961,1747
2014,26055,26,055,64997,258,14038,2546,7311,13576,5555,2092,610
2014,26065,26,065,168487,2012,30106,5568,17489,31961,16263,5605,7949
2014,26073,26,073,36651,617,10165,1478,3246,6124,2818,449,929
2014,26075,26,075,109955,840,31418,6408,10350,15987,4456,1072,917
2014,26077,26,077,160210,1645,30650,5625,17188,33952,15567,3654,2919
2014,26081,26,081,408837,5380,89544,14092,35398,87901,37475,6980,5254
2014,26087,26,087,61070,471,18346,3436,5983,6917,3278,339,208
2014,26091,26,091,67507,634,21179,3171,5484,9108,3508,537,517
2014,26093,26,093,128433,453,31100,3474,12544,28193,11631,1476,678
2014,26099,26,099,597214,7270,164062,17904,61169,92167,41059,6506,2929
2014,26103,26,103,44793,268,11862,2386,4294,7681,3238,973,475
2014,26111,26,111,57536,133,15643,1788,6798,10101,4722,797,1490
2014,26115,26,115,103772,1193,32576,4808,10651,10808,5626,1032,438
2014,26121,26,121,115057,1473,32005,9276,12210,14219,5519,713,685
2014,26125,26,125,862400,9263,152836,17026,67099,214976,122817,32706,16050
2014,26139,26,139,169189,1046,44336,5542,15804,35900,15057,1993,2033
2014,26145,26,145,132077,1118,39257,5398,12761,20229,7136,1313,599
2014,26147,26,147,112201,1922,33214,5246,11428,13537,6230,1250,987
2014,26155,26,155,47782,438,15482,2141,5409,5317,2806,482,149
2014,26159,26,159,50820,664,13181,3473,4638,6264,3084,738,221
2014,26161,26,161,221693,1836,28185,5896,16059,54838,41678,10151,10855
2014,26163,26,163,1165601,19060,298414,58147,98225,155973,77300,15727,8751
2014,27003,27,003,230825,2574,53323,10202,33650,46636,13846,2438,1396
2014,27013,27,013,38958,159,10187,723,4484,7885,2755,833,539
