year,fips,state_fips,county_fips,poverty_universe,below_poverty_level,snap_universe,snap_received,snap_not_received,families_poverty_universe,families_below_poverty,poverty_by_age_universe,poverty_by_age_below,ratio_income_poverty_universe,ratio_under_0_50,ratio_0_50_to_0_99,ratio_1_00_to_1_24,ratio_1_25_to_1_49,ratio_1_50_to_1_84,ratio_1_85_to_1_99
2015,12095,12,095,1255086,196329,457736,78382,379354,301978,38085,1255086,196329,1255086,74968,121361,73678,76373,101043,41137
2015,12097,12,097,321135,63630,98301,20738,77563,72527,12126,321135,63630,321135,23625,40005,20316,26554,29785,15198
2015,12099,12,099,1403684,188955,545780,59289,486491,344325,32607,1403684,188955,1403684,83315,105640,66295,67685,93585,41879
2015,12101,12,101,491129,71925,192628,29856,162772,125418,12414,491129,71925,491129,30026,41899,22958,30558,38049,17471
2015,12103,12,103,935344,126571,400209,46059,354150,219190,19251,935344,126571,935344,59340,67231,44447,44571,69585,22639
2015,12105,12,105,636822,109684,227122,36695,190427,157259,18640,636822,109684,636822,44905,64779,45419,42715,58553,20028
2015,12107,12,107,70556,20092,28165,7122,21043,,,70556,20092,70556,8263,11829,4727,3114,5757,2291
2015,12109,12,109,224079,24813,83247,6556,76691,59718,4474,224079,24813,224079,11782,13031,5783,12119,6707,3594
2015,12111,12,111,295174,48880,108811,14966,93845,73598,8673,295174,48880,295174,21595,27285,18296,12758,28308,9799
2015,12113,12,113,160047,20921,60861,8265,52596,44593,4092,160047,20921,160047,9548,11373,5331,7498,9431,3157
2015,12115,12,115,399742,35372,177807,11708,166099,110221,6019,399742,35372,399742,13434,21938,14926,19914,23841,7264
2015,12117,12,117,444934,51096,162739,14493,148246,108043,7574,444934,51096,444934,26520,24576,22301,18359,28699,12181
2015,12119,12,119,109095,8866,51170,1736,49434,,,109095,8866,109095,4870,3996,1678,2121,4080,2491
2015,12127,12,127,508830,81542,209657,30424,179233,128752,14692,508830,81542,508830,35433,46109,32116,24095,41833,17093
2015,13013,13,013,74929,13775,24100,3886,20214,,,74929,13775,74929,5074,8701,6348,4471,4440,792
2015,13015,13,015,101697,11397,37016,6509,30507,,,101697,11397,101697,4800,6597,9807,5442,10503,2498
2015,13021,13,021,146498,38744,59795,11676,48119,35842,6374,146498,38744,146498,19848,18896,7734,7107,10198,3559
2015,13031,13,031,65387,21795,26495,5461,21034,16922,3659,65387,21795,65387,11711,10084,1863,6406,3206,2356
2015,13045,13,045,111062,24789,41251,9749,31502,29164,4310,111062,24789,111062,11801,12988,8443,4749,9701,3277
2015,13047,13,047,65434,6218,24900,2278,22622,,,65434,6218,65434,2447,3771,3150,4646,3605,2427
2015,13051,13,051,272550,46793,108249,14855,93394,67959,8602,272550,46793,272550,23012,23781,14964,17079,17480,7315
2015,13057,13,057,233819,23972,82664,4599,78065,61740,5341,233819,23972,233819,8595,15377,7472,6203,10752,5695
2015,13059,13,059,113287,43726,46556,6673,39883,21500,5202,113287,43726,113287,22584,21142,4528,5333,7925,2147
2015,13063,13,063,268327,62440,90373,22038,68335,59837,12078,268327,62440,268327,26924,35516,16273,17789,28265,11993
2015,13067,13,067,729957,80781,274468,26908,247560,189592,15402,729957,80781,729957,40205,40576,31466,31764,36209,22325
2015,13073,13,073,143350,17175,46821,3079,43742,,,143350,17175,143350,9550,7625,2625,4926,6478,2419
2015,13077,13,077,137609,14939,50353,3952,46401,,,137609,14939,137609,5494,9445,4313,5457,8121,3226
2015,13089,13,089,722017,125121,276631,41057,235574,160727,21399,722017,125121,722017,53132,71989,35082,34036,54073,18737
2015,13095,13,095,87646,24306,35226,9404,25822,21459,4855,87646,24306,87646,12382,11924,4566,4973,8100,4447
2015,13097,13,097,139356,20097,48493,7340,41153,35119,3862,139356,20097,139356,10154,9943,6396,6587,6571,2504
2015,13113,13,113,109994,8868,39707,2477,37230,,,109994,8868,109994,2640,6228,3460,3245,6796,1899
2015,13115,13,115,92324,17410,34931,5176,29755,23019,3628,92324,17410,92324,5540,11870,7513,5752,7675,2432
2015,13117,13,117,211213,13668,70033,3997,66036,57489,2778,211213,13668,211213,4919,8749,3674,4382,6627,1491
2015,13121,13,121,979379,149734,392794,47975,344819,207354,23885,979379,149734,979379,76045,73689,39816,31705,60738,22870
2015,13127,13,127,82293,14180,34518,7573,26945,23589,3423,82293,14180,82293,6352,7828,5476,4561,6855,2579
2015,13135,13,135,889374,112494,284631,29152,255479,217311,22978,889374,112494,889374,42231,70263,46359,48301,69901,23727
2015,13139,13,139,191683,33253,63989,8285,55704,49405,6567,191683,33253,191683,10342,22911,7775,12344,15147,4560
2015,13151,13,151,216492,20648,71681,9568,62113,57811,4808,216492,20648,216492,11956,8692,5418,15382,10359,8791
2015,13153,13,153,147826,24305,56042,8790,47252,41250,5478,147826,24305,147826,11992,12313,4943,9484,7880,2506
2015,13179,13,179,60234,13944,22282,3965,18317,15121,3042,60234,13944,60234,6412,7532,5300,7201,5048,2230
2015,13185,13,185,108870,30382,37760,7073,30687,21168,4217,108870,30382,108870,13553,16829,9932,5539,9478,5062
2015,13215,13,215,194207,42431,73961,14648,59313,45611,7883,194207,42431,194207,18862,23569,9557,8487,17461,6334
2015,13217,13,217,103817,15026,35397,6997,28400,,,103817,15026,103817,7369,7657,4126,4343,5084,4023
2015,13223,13,223,151209,11788,50671,4949,45722,38530,2335,151209,11788,151209,6021,5767,4113,6446,15503,3901
2015,13245,13,245,191692,44253,71156,15692,55464,44099,8133,191692,44253,191692,21448,22805,12467,12926,12208,4695
2015,13247,13,247,87920,14064,31231,3409,27822,22700,3179,87920,14064,87920,6271,7793,5393,3543,6121,3260
2015,13285,13,285,68047,12559,25092,5296,19796,16074,2445,68047,12559,68047,7416,5143,7652,3438,4547,1426
2015,13295,13,295,66508,12790,24966,3614,21352,,,66508,12790,66508,4314,8476,4247,2681,5419,1227
2015,13297,13,297,86897,10219,30369,3013,27356,24495,1997,86897,10219,86897,5805,4414,4645,2596,6387,2792
2015,13313,13,313,102844,14920,34544,3947,30597,25701,2911,102844,14920,102844,3200,11720,6620,8792,14056,3511
2015,15001,15,001,193277,36413,64201,12518,51683,42145,5565,193277,36413,193277,17965,18448,7253,6205,10384,3163
2015,15003,15,003,967020,88642,307703,31495,276208,215170,11700,967020,88642,967020,46331,42311,25148,29174,41987,22428
2015,15007,15,007,71071,7220,21862,2226,19636,,,71071,7220,71071,3791,3429,830,2101,4868,1230
2015,15009,15,009,162621,15709,52080,4983,47097,36501,2851,162621,15709,162621,6659,9050,3449,3801,11605,4425
2015,16001,16,001,425980,50179,163585,12581,151004,100845,7194,425980,50179,425980,20687,29492,14115,17589,24910,15183
2015,16005,16,005,81524,20630,30174,4696,25478,18815,3559,81524,20630,81524,7930,12700,3733,3017,6519,3096
2015,16019,16,019,108451,14262,36702,5468,31234,27201,2885,108451,14262,108451,5275,8987,6825,6300,10175,2352
2015,16027,16,027,203763,32036,68220,11729,56491,45608,4857,203763,32036,203763,11822,20214,13001,15452,19979,13490
2015,16055,16,055,148327,23357,58675,7630,51045,39597,5316,148327,23357,148327,10799,12558,6260,5994,14109,4198
2015,16083,16,083,81089,11252,30177,2740,27437,,,81089,11252,81089,2554,8698,2648,4722,7861,3530
2015,17001,17,001,65163,8801,26743,3806,22937,,,65163,8801,65163,2980,5821,2052,3346,5447,1446
2015,17019,17,019,192502,39836,79673,6376,73297,40471,2737,192502,39836,192502,25003,14833,7434,7377,10653,4954
2015,17031,17,031,5152758,832080,1954712,312515,1642197,1187975,145464,5152758,832080,5152758,379978,452102,265735,250032,322691,115068
2015,17037,17,037,99592,17405,36946,5954,30992,22977,2726,99592,17405,99592,11693,5712,3183,4744,5425,2532
2015,17043,17,043,920900,65218,338852,19277,319575,234510,12667,920900,65218,920900,33903,31315,20634,26787,38494,18819
2015,17089,17,089,525939,58220,175512,19366,156146,129920,11244,525939,58220,525939,22463,35757,18923,17209,28047,14140
2015,17091,17,091,106245,15994,38755,7006,31749,25251,3199,106245,15994,106245,8074,7920,4196,4352,7507,3148
2015,17093,17,093,121920,5805,38557,2511,36046,,,121920,5805,121920,1110,4695,5125,3588,3621,5787
2015,17097,17,097,686670,61383,242179,21865,220314,180352,12594,686670,61383,686670,24263,37120,21965,23484,28053,14748
2015,17099,17,099,107886,13596,44951,5966,38985,29414,2821,107886,13596,107886,6669,6927,3054,8079,6567,3560
2015,17111,17,111,305404,28119,111124,9640,101484,81491,5330,305404,28119,305404,10588,17531,4711,9507,14926,4441
2015,17113,17,113,165714,19116,66340,6547,59793,41662,1883,165714,19116,165714,12030,7086,4018,7597,7991,5820
2015,17115,17,115,103885,19056,44429,7927,36502,27118,3738,103885,19056,103885,10539,8517,3385,4586,6022,2295
2015,17119,17,119,259181,33369,106573,13785,92788,68914,6204,259181,33369,259181,15557,17812,10264,7976,14224,6511
2015,17143,17,143,180967,28091,75317,13129,62188,45847,5240,180967,28091,180967,12523,15568,7246,8518,9499,5015
2015,17161,17,161,140478,17995,60000,7739,52261,36238,3639,140478,17995,140478,8689,9306,6255,4547,9163,4098
2015,17163,17,163,259889,41477,101743,16213,85530,63641,7508,259889,41477,259889,19531,21946,10089,12574,14608,4941
2015,17167,17,167,193818,31733,83023,11232,71791,50235,6015,193818,31733,193818,15774,15959,7437,5831,9559,3533
2015,17179,17,179,130820,9503,53902,6234,47668,35480,1775,130820,9503,130820,4563,4940,5075,4939,5176,3827
2015,17183,17,183,75975,13749,30927,5274,25653,20098,2546,75975,13749,75975,8502,5247,4230,3513,5854,2063
2015,17197,17,197,677366,53645,224646,22830,201816,165910,9506,677366,53645,677366,22671,30974,18601,22495,33141,12696
2015,17199,17,199,65431,10204,25680,4770,20910,,,65431,10204,65431,4672,5532,3120,2690,3724,3421
2015,17201,17,201,282384,41008,113695,19916,93779,71591,7105,282384,41008,282384,19340,21668,13505,13765,22135,7757
2015,18003,18,003,362398,53350,142476,16550,125926,93908,9947,362398,53350,362398,25961,27389,16384,17476,26675,9440
2015,18005,18,005,79827,11114,31131,2273,28858,,,79827,11114,79827,6296,4818,1147,2426,6307,1742
2015,18019,18,019,113235,9493,44263,3160,41103,29866,1594,113235,9493,113235,4584,4909,4817,5666,9999,4462
2015,18035,18,035,110080,25781,45278,7288,37990,28380,4219,110080,25781,110080,14410,11371,5824,4245,8398,2955
2015,18039,18,039,199798,30207,68498,7121,61377,47788,5265,199798,30207,199798,13003,17204,9700,10108,20231,5987
2015,18043,18,043,75435,8351,29246,3413,25833,19931,1895,75435,8351,75435,5116,3235,2959,1965,3152,927
2015,18053,18,053,62107,10640,25137,4594,20543,,,62107,10640,62107,3827,6813,4183,4062,5665,2222
2015,18057,18,057,307975,15490,113267,3932,109335,84651,2994,307975,15490,307975,7018,8472,6431,5892,14833,2993
2015,18059,18,059,71873,3561,27593,1888,25705,,,71873,3561,71873,1103,2458,1144,1767,2781,1489
2015,18063,18,063,155683,6955,56088,2126,53962,,,155683,6955,155683,4005,2950,2632,3241,8393,3214
2015,18067,18,067,80750,15235,34714,5126,29588,22244,3353,80750,15235,80750,7386,7849,2011,3878,5531,2986
2015,18081,18,081,146948,10748,54458,3074,51384,39675,2148,146948,10748,146948,3738,7010,5213,4825,8608,1324
2015,18085,18,085,76577,7767,29867,2371,27496,21807,1476,76577,7767,76577,1964,5803,3619,2997,7225,1434
2015,18089,18,089,482517,79402,186564,31066,155498,122959,15480,482517,79402,482517,37300,42102,24326,20512,30613,13966
2015,18091,18,091,101974,16758,43169,7446,35723,26954,3405,101974,16758,101974,8731,8027,6076,4978,6609,2437
2015,18095,18,095,122832,21162,51421,7165,44256,33717,4476,122832,21162,122832,8506,12656,5099,7928,9226,2643
2015,18097,18,097,919974,191237,365296,59204,306092,193372,30038,919974,191237,919974,87049,104188,52191,52241,67554,26228
2015,18105,18,105,128812,32159,54598,4242,50356,27732,2753,128812,32159,128812,20980,11179,5738,4496,8715,2291
2015,18109,18,109,67732,8900,25033,1815,23218,,,67732,8900,67732,2899,6001,1565,2395,3162,2264
2015,18127,18,127,163634,21697,62424,5873,56551,44241,4676,163634,21697,163634,10838,10859,4156,4195,6155,3314
2015,18141,18,141,257165,43408,98835,11587,87248,62570,7823,257165,43408,257165,21315,22093,12373,15509,16954,7666
2015,18157,18,157,169262,34059,69857,6997,62860,36979,3687,169262,34059,169262,19476,14583,7798,8389,9968,3649
2015,18163,18,163,175628,31262,73991,9712,64279,45039,6492,175628,31262,175628,7983,23279,7563,9538,11183,6634
2015,18167,18,167,99377,20268,41981,6787,35194,23845,3006,99377,20268,99377,11018,9250,7440,5219,7317,3184
2015,18177,18,177,64221,11750,24238,3700,20538,16385,2157,64221,11750,64221,4950,6800,2808,5545,4957,1835
2015,19013,19,013,128201,17527,52253,6109,46144,31786,2137,128201,17527,128201,7211,10316,5888,9353,8359,3088
2015,19049,19,049,79624,4015,29188,1794,27394,,,79624,4015,79624,1737,2278,1108,2814,2016,654
2015,19061,19,061,93435,12031,37784,3023,34761,25213,2092,93435,12031,93435,6208,5823,2252,1692,4551,2561
2015,19103,19,103,136375,27645,55711,3724,51987,31560,2756,136375,27645,136375,17236,10409,4175,3300,5210,1707
2015,19113,19,113,213285,24674,89164,9334,79830,54636,4443,213285,24674,213285,12221,12453,5981,8557,8695,5546
2015,19153,19,153,458943,55227,182948,25758,157190,114061,8794,458943,55227,458943,27197,28030,18478,19548,25275,14342
2015,19155,19,155,91147,12777,37126,5963,31163,24740,2683,91147,12777,91147,3102,9675,3604,2312,4797,2109
2015,19163,19,163,168836,19497,68835,8334,60501,43555,3575,168836,19497,168836,8150,11347,5331,9836,11528,3481
2015,19169,19,169,85533,17732,37264,2942,34322,,,85533,17732,85533,10318,7414,3837,3578,5239,1559
2015,19193,19,193,99998,12792,38023,4460,33563,24523,2654,99998,12792,99998,4133,8659,6212,4439,5752,2676
2015,20015,20,015,64115,7741,25546,2151,23395,,,64115,7741,64115,1518,6223,2557,2431,3011,1510
2015,20045,20,045,109232,23273,42817,2933,39884,,,109232,23273,109232,9202,14071,3250,2411,5624,1182
2015,20091,20,091,575124,30399,222277,8914,213363,153219,5207,575124,30399,575124,13273,17126,12929,14191,23073,9395
2015,20103,20,103,73638,8854,27298,1902,25396,19411,1755,73638,8854,73638,4113,4741,3103,2250,3511,1401
2015,20161,20,161,66742,17414,26438,1876,24562,,,66742,17414,66742,11154,6260,4378,2032,5490,1189
2015,20173,20,173,505240,76493,193145,20450,172695,120111,12502,505240,76493,505240,39058,37435,19309,26776,31643,16498
2015,20177,20,177,174522,24715,71370,7642,63728,43996,4301,174522,24715,174522,10586,14129,6757,5990,12594,7744
2015,20209,20,209,161260,35106,59281,8406,50875,35644,6075,161260,35106,161260,16124,18982,10344,11051,12577,5779
2015,21015,21,015,126605,10584,45831,2831,43000,,,126605,10584,126605,3533,7051,3014,4122,6923,3291
2015,21029,21,029,77995,6332,28860,2778,26082,,,77995,6332,77995,1860,4472,3030,3783,5881,3365
2015,21037,21,037,88858,14293,35682,4119,31563,22560,2384,88858,14293,88858,6044,8249,1469,4307,5833,3216
2015,21047,21,047,66370,13802,25346,5759,19587,17521,2581,66370,13802,66370,5980,7822,5719,2940,6035,2858
2015,21059,21,059,96304,14191,39395,5451,33944,26573,2404,96304,14191,96304,6843,7348,3359,3939,8070,3209
2015,21067,21,067,302119,58992,129088,15670,113418,76328,10400,302119,58992,302119,27142,31850,14643,11919,16706,7188
2015,21093,21,093,103864,16205,41389,6000,35389,,,103864,16205,103864,6078,10127,3337,6238,5622,2569
2015,21111,21,111,749470,112800,308588,43524,265064,184081,19250,749470,112800,749470,47549,65251,28088,36082,51194,18637
2015,21117,21,117,161743,20917,63060,8219,54841,40069,4016,161743,20917,161743,10562,10355,4678,5335,12731,4322
2015,21145,21,145,63739,8361,27857,3698,24159,16618,1376,63739,8361,63739,3327,5034,1789,2961,5469,1488
2015,21151,21,151,81461,14637,32363,4694,27669,19984,2874,81461,14637,81461,6640,7997,3757,2496,4988,1634
2015,21195,21,195,60634,13860,25561,5885,19676,17296,2909,60634,13860,60634,4805,9055,4253,5520,2872,1786
2015,21227,21,227,115708,21389,45771,7610,38161,30536,4394,115708,21389,115708,8695,12694,5377,10675,7372,1940
2015,22005,22,005,118786,11776,40610,4152,36458,,,118786,11776,118786,4582,7194,4102,1263,6046,4014
2015,22015,22,015,122468,18518,48942,5449,43493,33906,3757,122468,18518,122468,8780,9738,4810,4736,9433,2685
2015,22017,22,017,246728,53502,95857,16687,79170,58607,9233,246728,53502,246728,25093,28409,15168,14165,18730,5000
2015,22019,22,019,194134,34322,77182,10084,67098,50069,6844,194134,34322,194134,12217,22105,7783,12784,16605,4581
2015,22033,22,033,437332,79382,168609,23308,145301,99906,12128,437332,79382,437332,37616,41766,22257,20523,22869,14228
2015,22045,22,045,73160,14570,26167,4977,21190,,,73160,14570,73160,6675,7895,5488,2326,5139,1126
2015,22051,22,051,432339,69135,168889,19892,148997,108439,14405,432339,69135,432339,29655,39480,23889,20522,23279,11536
2015,22055,22,055,235267,41495,90285,9104,81181,57911,7513,235267,41495,235267,17731,23764,11886,10937,12650,5497
2015,22057,22,057,96257,11739,36907,4078,32829,,,96257,11739,96257,4138,7601,5279,5927,10147,1892
2015,22063,22,063,136849,21001,48320,6195,42125,33742,3679,136849,21001,136849,7181,13820,4542,4466,7973,4350
2015,22071,22,071,379675,88852,156591,26434,130157,74561,13037,379675,88852,379675,48672,40180,21425,20106,24423,10583
2015,22073,22,073,150807,35072,56858,9485,47373,35803,6432,150807,35072,150807,20611,14461,7018,11401,12129,3235
2015,22079,22,079,128383,28268,47411,9034,38377,31679,5779,128383,28268,128383,12257,16011,7698,7399,5961,3054
2015,22097,22,097,82380,23268,30512,6235,24277,19222,4868,82380,23268,82380,10690,12578,4949,5416,7756,3257
2015,22103,22,103,246921,32723,90895,9008,81887,64920,6483,246921,32723,246921,12309,20414,6733,10069,17209,5897
2015,22105,22,105,124973,30718,46263,9492,36771,30331,5869,124973,30718,124973,13135,17583,5907,6262,7517,3801
2015,22109,22,109,112277,25158,40641,6960,33681,,,112277,25158,112277,8174,16984,5354,5724,8862,3318
2015,23001,23,001,103890,16002,45138,8709,36429,28562,3014,103890,16002,103890,6065,9937,3673,5292,7555,3334
2015,23003,23,003,66631,13007,29372,6992,22380,18487,2501,66631,13007,66631,4176,8831,3720,4660,5216,2527
2015,23005,23,005,282408,31282,115378,11680,103698,70885,5215,282408,31282,282408,14531,16751,8304,9021,10007,8002
2015,23011,23,011,115876,15173,51121,9232,41889,31829,2668,115876,15173,115876,5211,9962,5641,8141,8207,3387
2015,23019,23,019,145918,26249,59099,11216,47883,37433,4015,145918,26249,145918,11943,14306,6914,8632,10257,4808
2015,23031,23,031,197739,13485,80852,8540,72312,52710,2145,197739,13485,197739,4658,8827,6583,7525,9534,6224
2015,24001,24,001,64895,13500,27473,5679,21794,,,64895,13500,64895,6838,6662,3977,2057,4512,1808
2015,24003,24,003,547768,30585,205983,13704,192279,143134,5060,547768,30585,547768,16321,14264,12475,10693,17100,8749
2015,24005,24,005,810499,74182,311976,31618,280358,205197,12148,810499,74182,810499,32790,41392,28255,24480,42449,16924
2015,24009,24,009,89358,3307,31170,1958,29212,,,89358,3307,89358,2138,1169,1335,1187,2352,191
2015,24013,24,013,163730,10368,60086,4884,55202,44294,1615,163730,10368,163730,6341,4027,3193,4063,4627,1256
2015,24015,24,015,101208,9562,38245,3566,34679,27077,1812,101208,9562,101208,4714,4848,5197,3645,4719,1364
2015,24017,24,017,154035,9315,54855,4117,50738,40066,2184,154035,9315,154035,5477,3838,3178,912,6761,2294
2015,24021,24,021,240442,19029,89947,6776,83171,63843,3209,240442,19029,240442,8349,10680,4734,5668,10386,2809
2015,24025,24,025,248685,20384,92662,8411,84251,65734,3844,248685,20384,248685,10045,10339,6760,7367,9450,4449
2015,24027,24,027,310855,13922,110320,6148,104172,80830,2170,310855,13922,310855,8141,5781,5764,5837,6411,3904
2015,24031,24,031,1031478,76854,371458,25009,346449,257474,13410,1031478,76854,1031478,32252,44602,20196,34100,44783,24754
2015,24033,24,033,888943,82708,304539,33147,271392,202499,13741,888943,82708,888943,37936,44772,24523,27117,52572,17198
2015,24037,24,037,108124,8634,39029,5230,33799,,,108124,8634,108124,5042,3592,1646,1553,3779,2757
2015,30111,30,111,153538,14079,62847,3972,58875,38736,2402,153538,14079,153538,4925,9154,5114,6967,15351,3384
2015,31055,31,055,537780,79587,212285,21799,190486,129487,14104,537780,79587,537780,33509,46078,19865,21049,35811,12173
2015,31109,31,109,292967,41078,120671,9949,110722,69522,6294,292967,41078,292967,15815,25263,14175,10413,16458,7401
2015,31153,31,153,174231,10048,64495,3832,60663,48170,1956,174231,10048,174231,3841,6207,4201,3695,9708,5017
2015,32003,32,003,2088802,315325,740966,99528,641438,469005,54950,2088802,315325,2088802,145336,169989,106788,107131,159395,67531
2015,32031,32,031,441278,60631,172751,20768,151983,106576,9677,441278,60631,441278,25998,34633,22228,22191,27844,9374
2015,33005,33,005,71299,6572,29657,2237,27420,,,71299,6572,71299,3697,2875,2557,1418,3381,1550
2015,33009,33,009,82572,9988,35380,2440,32940,,,82572,9988,82572,5237,4751,2062,2602,2632,2804
2015,33011,33,011,397540,31913,156678,13517,143161,103581,5444,397540,31913,397540,12897,19016,9605,10890,16344,10041
2015,33013,33,013,141841,11172,55235,5073,50162,36761,1688,141841,11172,141841,5189,5983,4091,4235,6912,4303
2015,33015,33,015,299277,13030,118789,4369,114420,84410,2258,299277,13030,299277,6468,6562,4948,5524,8148,3609
2015,33017,33,017,117949,14250,47503,4819,42684,,,117949,14250,117949,6583,7667,3732,5102,7220,2229
2015,34001,34,001,268591,38494,101813,15256,86557,68091,7356,268591,38494,268591,14946,23548,14407,9282,20383,5628
2015,34003,34,003,927976,65867,336675,18586,318089,242300,13233,927976,65867,927976,28472,37395,22611,26826,25822,14791
2015,34005,34,005,437283,34472,163505,9090,154415,111263,5865,437283,34472,437283,19278,15194,14199,10033,15503,9035
2015,34007,34,007,504199,66421,185113,22731,162382,125224,13215,504199,66421,504199,33208,33213,17452,16397,23881,10127
2015,34009,34,009,91737,7944,38708,3087,35621,,,91737,7944,91737,3664,4280,5265,4171,3883,2454
2015,34011,34,011,142116,23979,50380,7751,42629,34807,4325,142116,23979,142116,13485,10494,5292,10001,11259,5605
2015,34013,34,013,778516,133126,279874,42949,236925,180410,26014,778516,133126,778516,59630,73496,41511,38606,53331,13818
2015,34015,34,015,287782,20656,103876,8626,95250,73437,3655,287782,20656,287782,10008,10648,7221,7475,12691,3379
2015,34017,34,017,667268,119689,255508,43421,212087,159862,24055,667268,119689,667268,55848,63841,32310,31225,45119,16286
2015,34019,34,019,121783,7524,47057,2245,44812,,,121783,7524,121783,4708,2816,1470,3276,1416,1010
2015,34021,34,021,355021,39683,127965,8894,119071,88164,6854,355021,39683,355021,18993,20690,15182,13632,20830,5457
2015,34023,34,023,809410,69115,280855,15366,265489,208002,13617,809410,69115,809410,31147,37968,24917,28290,35434,16623
2015,34025,34,025,623190,46103,234365,16289,218076,163607,8303,623190,46103,623190,20112,25991,14723,16836,26686,8746
2015,34027,34,027,493083,24007,179480,7218,172262,128955,4020,493083,24007,493083,10709,13298,5916,9435,15526,6746
2015,34029,34,029,581144,63238,222497,18011,204486,151132,11494,581144,63238,581144,27639,35599,26189,19269,29160,14553
2015,34031,34,031,502867,88716,157309,33855,123454,110961,15624,502867,88716,502867,40996,47720,25924,25272,33716,15361
2015,34033,34,033,62783,7184,22747,2597,20150,,,62783,7184,62783,3781,3403,1938,1686,3225,1071
2015,34035,34,035,330004,17035,117198,2839,114359,84490,3388,330004,17035,330004,9313,7722,6377,4129,9046,4477
2015,34037,34,037,142479,6869,53190,2249,50941,,,142479,6869,142479,2876,3993,1898,2482,6242,2434
2015,34039,34,039,549040,58386,188035,17319,170716,135202,11014,549040,58386,549040,25318,33068,22770,25164,32076,14473
2015,34041,34,041,105303,7606,41813,2829,38984,28255,1421,105303,7606,105303,2948,4658,3569,2933,6758,1498
2015,35001,35,001,667896,133450,263325,43440,219885,157309,22168,667896,133450,667896,50140,83310,37346,30539,39988,23032
2015,35005,35,005,63957,13628,22665,4720,17945,16461,2501,63957,13628,63957,8378,5250,5191,4610,5412,2175
2015,35013,35,013,209502,56847,74631,17098,57533,52596,12137,209502,56847,209502,24110,32737,14106,13297,15908,6444
2015,35025,35,025,68452,9348,21101,3124,17977,16188,1750,68452,9348,68452,4536,4812,3974,4688,4324,1379
2015,35031,35,031,76070,27553,19735,5513,14222,13445,4250,76070,27553,76070,12803,14750,4260,5562,6317,4021
2015,35035,35,035,60950,16346,23919,4797,19122,,,60950,16346,60950,8256,8090,2008,2676,4452,2856
2015,35043,35,043,138361,14640,47397,4989,42408,32874,1918,138361,14640,138361,8042,6598,5623,8076,9709,5025
2015,35045,35,045,116728,22868,43030,7049,35981,29729,4299,116728,22868,116728,9830,13038,4995,6797,10291,3628
2015,35049,35,049,145763,19016,60642,6338,54304,36800,3087,145763,19016,145763,8501,10515,7946,7790,9244,4396
2015,35061,35,061,73986,15155,27431,5689,21742,19284,3308,73986,15155,73986,5052,10103,4868,4770,5549,4148
2015,36001,36,001,292720,36488,123862,15610,108252,63499,4638,292720,36488,292720,16002,20486,11885,11305,15107,4186
2015,36005,36,005,1420412,432177,495513,177578,317935,323424,90343,1420412,432177,1420412,192221,239956,101853,87784,104349,43202
2015,36007,36,007,186625,33262,78398,13300,65098,44441,4824,186625,33262,186625,14969,18293,7741,8714,12975,3427
2015,36009,36,009,75030,13789,31174,6937,24237,19541,2331,75030,13789,75030,6021,7768,6069,5939,5898,2022
2015,36011,36,011,73558,7899,31368,4039,27329,19691,1334,73558,7899,73558,3050,4849,2488,4421,5445,2310
2015,36013,36,013,124862,20910,51579,9550,42029,32053,3389,124862,20910,124862,10026,10884,6560,6829,7514,3592
2015,36015,36,015,82647,11454,34546,5577,28969,21753,2286,82647,11454,82647,6036,5418,4651,3468,5972,1972
2015,36019,36,019,73404,14347,31249,7243,24006,18859,2872,73404,14347,73404,7242,7105,3069,1831,3793,2241
2015,36027,36,027,279308,28694,106319,11860,94459,73318,5356,279308,28694,279308,14136,14558,7276,9583,9769,7327
2015,36029,36,029,896567,140207,383099,64855,318244,225818,23918,896567,140207,896567,68646,71561,36287,29587,51006,19493
2015,36045,36,045,111343,14948,43145,6386,36759,28987,2844,111343,14948,111343,6905,8043,5750,7479,7865,3704
2015,36047,36,047,2614180,582808,940176,219184,720992,583603,108146,2614180,582808,2614180,235542,347266,163928,130908,168073,69213
2015,36051,36,051,58649,7459,24189,3341,20848,15860,1366,58649,7459,58649,2732,4727,4386,2130,3712,1090
2015,36053,36,053,66539,8268,26305,3272,23033,17252,1281,66539,8268,66539,4749,3519,2617,2834,2870,1071
2015,36055,36,055,726222,108388,298151,46657,251494,183940,19472,726222,108388,726222,55556,52832,28796,27117,35402,17180
2015,36059,36,059,1342931,77687,436567,20417,416150,333427,13753,1342931,77687,1342931,35507,42180,27584,33755,46689,24589
2015,36061,36,061,1597437,280406,751244,102322,648922,302832,40907,1597437,280406,1597437,132483,147923,67201,53032,75352,26135
2015,36063,36,063,208858,33408,84893,12159,72734,52033,6200,208858,33408,208858,13437,19971,7974,10406,13493,5079
2015,36065,36,065,220220,40085,90396,17214,73182,56541,7685,220220,40085,220220,19739,20346,11092,7881,11347,4722
2015,36067,36,067,449596,66186,182581,25685,156896,108669,10193,449596,66186,449596,31904,34282,13849,16733,24016,10345
2015,36069,36,069,106071,9439,43692,4129,39563,27687,1471,106071,9439,106071,4067,5372,6760,4004,6839,2860
2015,36071,36,071,368064,43096,125470,12650,112820,84832,6671,368064,43096,368064,20731,22365,13496,13170,18668,6983
