year,fips,state_fips,county_fips,poverty_universe,below_poverty_level,snap_universe,snap_received,snap_not_received,families_poverty_universe,families_below_poverty,poverty_by_age_universe,poverty_by_age_below,ratio_income_poverty_universe,ratio_under_0_50,ratio_0_50_to_0_99,ratio_1_00_to_1_24,ratio_1_25_to_1_49,ratio_1_50_to_1_84,ratio_1_85_to_1_99
2014,06029,06,029,841935,208388,261135,47771,213364,197859,39386,841935,208388,841935,80309,128079,57410,56614,60979,24080
2014,06031,06,031,133732,35623,41596,7884,33712,32268,7189,133732,35623,133732,16131,19492,7960,7995,16030,2750
2014,06033,06,033,63228,16350,27636,2333,25303,,,63228,16350,63228,6054,10296,3150,5437,5431,1817
2014,06037,06,037,9964447,1860890,3269112,305966,2963146,2186123,323256,9964447,1860890,9964447,746087,1114803,594845,580632,741144,283555
2014,06039,06,039,146331,32432,42895,8717,34178,33261,6210,146331,32432,146331,14683,17749,14635,8120,11885,5598
2014,06041,06,041,254749,22395,103509,4188,99321,61577,3014,254749,22395,254749,12083,10312,4295,7257,9431,7564
2014,06045,06,045,86129,15939,33464,4787,28677,19465,2474,86129,15939,86129,8803,7136,6405,6033,7307,2074
2014,06047,06,047,259607,65405,79255,16890,62365,61808,13188,259607,65405,259607,26234,39171,23647,14879,25232,12939
2014,06053,06,053,413762,71246,123920,8822,115098,89865,12370,413762,71246,413762,22495,48751,24948,32436,36841,15054
2014,06055,06,055,138245,11439,50516,2349,48167,35517,2025,138245,11439,138245,5296,6143,5534,6274,9265,3392
2014,06057,06,057,97956,10445,40186,2948,37238,,,97956,10445,97956,4445,6000,3124,3877,6956,4176
2014,06059,06,059,3108399,398986,1018862,68093,950769,738178,66778,3108399,398986,3108399,165958,233028,136946,121632,183697,76723
2014,06061,06,061,367763,31171,136239,5934,130305,94038,5254,367763,31171,367763,16395,14776,13023,10090,17547,5458
2014,06065,06,065,2296989,392581,700584,77815,622769,516981,68694,2296989,392581,2296989,159065,233516,115369,129731,164873,70370
2014,06067,06,067,1458671,265629,523353,63373,459980,347539,46543,1458671,265629,1458671,112260,153369,80411,68440,89458,43338
2014,06071,06,071,2053110,422111,617066,99760,517306,463695,75367,2053110,422111,2053110,184399,237712,111063,127668,170621,61283
2014,06073,06,073,3183055,467054,1100858,75928,1024930,743988,79414,3183055,467054,3183055,225580,241474,137136,145727,191989,89089
2014,06075,06,075,838424,100906,353406,15301,338105,162498,10559,838424,100906,838424,48715,52191,29253,27510,39698,14517
2014,06077,06,077,703015,146601,221874,33519,188355,161489,27548,703015,146601,703015,58693,87908,36928,47482,49916,17989
2014,06079,06,079,263065,38967,102645,5881,96764,64404,4618,263065,38967,263065,19590,19377,10016,12497,16963,6561
2014,06081,06,081,752109,55272,257473,9983,247490,175767,7259,752109,55272,752109,25610,29662,19440,27620,32776,13084
2014,06083,06,083,421761,75819,142912,11653,131259,91819,10356,421761,75819,421761,35696,40123,19975,23748,31015,16954
2014,06085,06,085,1864887,156964,622068,31563,590505,444289,23979,1864887,156964,1864887,78923,78041,59323,60902,89469,34433
2014,06087,06,087,261425,43927,96127,7641,88486,61600,5523,261425,43927,261425,20666,23261,11413,13525,16616,5784
2014,06089,06,089,177388,24419,68542,5237,63305,42525,3084,177388,24419,177388,12362,12057,10974,9022,16532,6839
2014,06095,06,095,421821,52028,145313,12975,132338,106564,10194,421821,52028,421821,22469,29559,14421,18696,29240,9023
2014,06097,06,097,494238,55638,190875,12418,178457,121602,7924,494238,55638,494238,24970,30668,24619,16543,33688,10287
2014,06099,06,099,526121,94586,169038,27147,141891,124508,18754,526121,94586,526121,44991,49595,42923,35332,39264,12360
2014,06101,06,101,94938,13098,31634,2628,29006,23080,2251,94938,13098,94938,4704,8394,6423,8131,5091,4718
2014,06107,06,107,452795,129485,132742,31295,101447,103033,23458,452795,129485,452795,52473,77012,37481,33551,33883,16343
2014,06111,06,111,834832,94610,269869,18161,251708,199452,16223,834832,94610,834832,37052,57558,39765,39127,51758,18303
2014,06113,06,113,199594,42435,72228,6328,65900,44301,4978,199594,42435,199594,25591,16844,11524,9065,9562,4247
2014,06115,06,115,72490,16636,25732,4463,21269,19423,4102,72490,16636,72490,7477,9159,5101,6567,4586,2454
2014,08001,08,001,476710,61059,159422,20246,139176,113311,11286,476710,61059,476710,26767,34292,25823,23711,39513,12090
2014,08005,08,005,613882,69923,232763,19555,213208,156448,12562,613882,69923,613882,28307,41616,23214,23171,34301,16827
2014,08013,08,013,303215,42858,123690,7578,116112,73481,5780,303215,42858,303215,22264,20594,9400,6809,18461,6201
2014,08031,08,031,650761,101979,281928,30682,251246,138354,16307,650761,101979,650761,50170,51809,38577,35729,37161,14770
2014,08035,08,035,313614,12652,108135,2240,105895,84076,2572,313614,12652,313614,5918,6734,4558,1970,9859,3773
2014,08041,08,041,645274,77936,245158,25669,219489,168476,14543,645274,77936,645274,33416,44520,25410,27858,38737,19471
2014,08059,08,059,549788,44494,224502,11129,213373,142875,6397,549788,44494,549788,17603,26891,15378,16801,20441,11639
2014,08069,08,069,315189,41504,125165,7972,117193,77488,4901,315189,41504,315189,22209,19295,12762,11263,22371,9087
2014,08077,08,077,144821,24537,59703,6780,52923,36778,4144,144821,24537,144821,12376,12161,6703,6002,8186,2097
2014,08101,08,101,156874,29472,63385,11707,51678,42082,6338,156874,29472,156874,13593,15879,8213,10446,12738,5731
2014,08123,08,123,270867,26603,96803,8065,88738,70251,4074,270867,26603,270867,14446,12157,12517,11681,20106,8305
2014,09001,09,001,927012,82199,338421,31978,306443,235414,14953,927012,82199,927012,39706,42493,27614,30610,44435,17911
2014,09003,09,003,873790,106975,346525,52893,293632,227141,20786,873790,106975,873790,45351,61624,28192,29871,43509,20370
2014,09005,09,005,182730,13621,73572,5852,67720,,,182730,13621,182730,6644,6977,3178,4976,7696,2910
2014,09007,09,007,159307,13368,67106,5682,61424,43121,2660,159307,13368,159307,7452,5916,4151,5666,7845,2332
2014,09009,09,009,834738,109373,326050,51627,274423,197715,17544,834738,109373,834738,50165,59208,30685,24450,53258,17000
2014,09011,09,011,261073,29630,105504,14370,91134,67503,5974,261073,29630,261073,11282,18348,6646,6319,13652,5405
2014,09013,09,013,135058,9846,53984,3460,50524,,,135058,9846,135058,6269,3577,2578,3784,6463,3545
2014,09015,09,015,111921,9760,44655,7264,37391,30471,1796,111921,9760,111921,4785,4975,6283,3071,7341,2750
2014,10001,10,001,165611,22216,61270,9348,51922,43053,4621,165611,22216,165611,10164,12052,9468,4652,12128,5016
2014,10003,10,003,536246,63907,202204,24913,177291,129950,9526,536246,63907,536246,34481,29426,13502,18198,25454,11236
2014,10005,10,005,207754,27385,86269,10907,75362,59997,5586,207754,27385,207754,9571,17814,7382,10846,12556,5870
2014,11001,11,001,624327,110666,277378,39035,238343,117864,16707,624327,110666,624327,56790,53876,19848,27724,23804,14609
2014,12001,12,001,240373,53321,97215,10935,86280,51577,6436,240373,53321,240373,29486,23835,13795,9426,13819,6801
2014,12005,12,005,175871,25927,66024,11439,54585,44305,4415,175871,25927,175871,11107,14820,8817,8735,15800,6667
2014,12009,12,009,550448,79527,225226,26648,198578,143657,15420,550448,79527,550448,34106,45421,22815,23366,44169,17572
2014,12011,12,011,1853237,266371,665192,93637,571555,424238,47929,1853237,266371,1853237,116962,149409,95290,100689,124016,60027
2014,12015,12,015,165169,17664,75234,6675,68559,47941,3485,165169,17664,165169,7191,10473,10737,10767,13500,5125
2014,12017,12,017,137612,29198,60315,9760,50555,39382,5823,137612,29198,137612,9764,19434,8893,7541,9358,5360
2014,12019,12,019,197659,22404,70307,9790,60517,53716,4641,197659,22404,197659,13618,8786,8114,9477,12008,4272
2014,12021,12,021,345962,50039,133162,11692,121470,91539,8111,345962,50039,345962,19226,30813,16541,13570,22498,12417
2014,12023,12,023,62370,13623,23825,4817,19008,14987,2528,62370,13623,62370,7025,6598,2411,4371,4617,1744
2014,12031,12,031,875816,161002,340985,60143,280842,209350,29705,875816,161002,875816,75946,85056,48924,39987,69288,27127
2014,12033,12,033,290734,39754,115094,17968,97126,68532,6199,290734,39754,290734,17765,21989,10364,13586,21986,8418
2014,12035,12,035,101892,10949,36798,3075,33723,,,101892,10949,101892,5253,5696,7715,4252,6578,3021
2014,12053,12,053,173063,25884,70558,10405,60153,46739,4705,173063,25884,173063,11433,14451,8800,13312,18037,4842
2014,12055,12,055,97201,17639,39288,5121,34167,25335,3483,97201,17639,97201,6096,11543,9239,5502,8707,2954
2014,12057,12,057,1296661,218295,489603,77302,412301,305760,38026,1296661,218295,1296661,97268,121027,65102,75640,93806,36096
2014,12061,12,061,143472,21733,55618,5981,49637,,,143472,21733,143472,5356,16377,11270,8048,9370,4370
2014,12069,12,069,311336,42380,117696,13328,104368,82029,7664,311336,42380,311336,19514,22866,17249,21016,19845,7842
2014,12071,12,071,668181,108637,263295,30799,232496,169692,19268,668181,108637,668181,41257,67380,37119,32067,49455,23761
2014,12073,12,073,271898,64795,112145,16476,95669,59225,7391,271898,64795,271898,38172,26623,11008,12102,18145,7253
2014,12081,12,081,347492,48501,137695,15910,121785,92394,8623,347492,48501,347492,23912,24589,16884,14576,27316,11188
2014,12083,12,083,329080,57222,132275,18930,113345,83376,10434,329080,57222,329080,25428,31794,19812,16763,27878,11370
2014,12085,12,085,150590,17207,62518,4218,58300,,,150590,17207,150590,6871,10336,5568,5873,6827,6086
2014,12086,12,086,2621175,533803,843887,213246,630641,577159,97361,2621175,533803,2621175,212006,321797,172970,168297,196505,81352
2014,12087,12,087,74820,10952,28065,1655,26410,,,74820,10952,74820,3962,6990,2731,2375,6678,1044
2014,12089,12,089,76016,8972,28336,3479,24857,20197,1675,76016,8972,76016,4541,4431,5299,3875,4468,1387
2014,12091,12,091,190739,23831,73277,7985,65292,47366,4581,190739,23831,190739,11029,12802,8592,8440,13016,3776
2014,12095,12,095,1221051,223972,444543,70848,373695,283682,38199,1221051,223972,1221051,93541,130431,68354,67496,103571,34914
2014,12097,12,097,307898,62113,89328,19120,70208,65724,10642,307898,62113,307898,21429,40684,23373,23167,28457,10741
2014,12099,12,099,1378538,204426,538246,58215,480031,329853,35604,1378538,204426,1378538,83603,120823,74632,73869,97088,39936
2014,12101,12,101,476403,69499,186999,26503,160496,123751,13039,476403,69499,476403,34185,35314,28166,30111,38916,14964
2014,12103,12,103,923422,139373,402575,48185,354390,216780,21322,923422,139373,923422,74714,64659,44899,50758,66594,22914
2014,12105,12,105,620664,112095,218286,33196,185090,150507,20285,620664,112095,620664,51087,61008,38189,37694,59393,19545
2014,12107,12,107,69549,20943,26580,5501,21079,15782,4075,69549,20943,69549,8110,12833,5440,3496,6003,2331
2014,12109,12,109,215828,15434,81309,4217,77092,,,215828,15434,215828,7944,7490,8301,4186,8349,3037
2014,12111,12,111,288115,49771,108771,14094,94677,71051,9490,288115,49771,288115,17520,32251,7826,26913,23231,10371
2014,12113,12,113,156305,16015,56085,8138,47947,40097,3412,156305,16015,156305,7837,8178,9975,7550,11364,5095
2014,12115,12,115,391566,39983,175881,12628,163253,107204,6696,391566,39983,391566,18153,21830,13292,21745,25228,9492
2014,12117,12,117,438273,51035,148732,12161,136571,93802,6755,438273,51035,438273,19825,31210,23080,21274,24729,9420
2014,12119,12,119,105034,9774,50209,2889,47320,,,105034,9774,105034,4104,5670,3088,3804,9603,3236
2014,12127,12,127,497358,87528,200729,29390,171339,123901,14537,497358,87528,497358,40445,47083,21482,32892,44802,16184
2014,13013,13,013,72258,8587,22508,3562,18946,,,72258,8587,72258,3701,4886,3313,5838,8094,3012
2014,13015,13,015,100891,13101,37742,4853,32889,28210,3231,100891,13101,100891,6863,6238,5108,5592,8183,3171
2014,13021,13,021,147600,41138,56135,12802,43333,33995,8428,147600,41138,147600,20589,20549,8943,11014,10743,4530
2014,13031,13,031,65656,22141,25844,4056,21788,,,65656,22141,65656,11048,11093,2113,3574,4551,1030
2014,13045,13,045,109777,28233,38875,6419,32456,25195,4903,109777,28233,109777,16041,12192,7084,4821,5966,3920
2014,13047,13,047,64446,5641,23476,2917,20559,,,64446,5641,64446,1123,4518,3764,2375,4935,2120
2014,13051,13,051,269238,45857,106188,15576,90612,65083,8724,269238,45857,269238,23245,22612,14506,9793,16518,6987
2014,13057,13,057,229175,22335,81991,6191,75800,62321,4630,229175,22335,229175,8262,14073,7882,5885,10819,3587
2014,13059,13,059,110216,43524,44016,6266,37750,19373,4030,110216,43524,110216,20376,23148,5576,3875,7485,1477
2014,13063,13,063,262517,58792,88538,20914,67624,59534,11399,262517,58792,262517,21044,37748,16976,19283,16451,7318
2014,13067,13,067,719932,92026,271686,28090,243596,188384,17569,719932,92026,719932,42224,49802,26620,26407,39099,18548
2014,13073,13,073,138872,15407,45371,3320,42051,35772,2591,138872,15407,138872,6506,8901,4999,1962,9123,2827
2014,13077,13,077,134589,17923,49546,4837,44709,35436,3761,134589,17923,134589,8641,9282,3753,3175,10805,7610
2014,13089,13,089,706513,141893,266307,44174,222133,155467,22927,706513,141893,706513,67156,74737,38577,35908,45247,18052
2014,13095,13,095,88540,27162,35539,9669,25870,21831,5171,88540,27162,88540,14052,13110,5944,7021,5709,2659
2014,13097,13,097,137235,18511,47687,7750,39937,33849,4306,137235,18511,137235,9653,8858,6374,9975,10870,6490
2014,13113,13,113,109012,7231,38945,2421,36524,,,109012,7231,109012,4682,2549,4360,3170,3781,2138
2014,13115,13,115,92155,19182,36177,6237,29940,24662,4253,92155,19182,92155,10660,8522,6576,3547,9109,2509
2014,13117,13,117,203571,12318,66429,2444,63985,54154,2140,203571,12318,203571,3618,8700,5609,4192,9323,3015
2014,13121,13,121,963999,161589,381990,53495,328495,206969,25868,963999,161589,963999,75336,86253,46099,39109,54215,23100
2014,13127,13,127,80687,15116,32361,5763,26598,21130,3113,80687,15116,80687,7236,7880,3985,5992,4404,2069
2014,13135,13,135,872040,115681,278652,30347,248305,210513,22630,872040,115681,872040,46027,69654,36058,45504,64621,22067
2014,13139,13,139,187884,31214,63383,7497,55886,46715,5794,187884,31214,187884,11483,19731,6483,12518,14959,7060
2014,13151,13,151,211958,34322,68524,8521,60003,51040,6943,211958,34322,211958,17848,16474,6634,9503,14125,5035
2014,13153,13,153,147188,29873,53519,8264,45255,39039,7070,147188,29873,147188,12197,17676,6656,12017,6388,2520
2014,13179,13,179,62854,8617,22096,2908,19188,15982,1708,62854,8617,62854,3226,5391,4288,5759,8291,3530
2014,13185,13,185,109497,26093,38547,8117,30430,25581,4378,109497,26093,109497,12525,13568,4980,9637,7400,2189
2014,13215,13,215,194111,41089,74339,14439,59900,47317,7965,194111,41089,194111,18223,22866,11185,11528,14894,5595
2014,13217,13,217,102390,22915,35923,8235,27688,26545,4407,102390,22915,102390,11833,11082,5263,5491,7214,6560
2014,13223,13,223,148148,17631,50248,5909,44339,39184,3483,148148,17631,148148,7360,10271,4609,7196,10048,4289
2014,13245,13,245,191648,47648,71031,18099,52932,41582,8286,191648,47648,191648,25007,22641,13125,13047,12948,7136
2014,13247,13,247,86284,15667,29707,4174,25533,22093,3082,86284,15667,86284,5341,10326,4236,7269,6314,3178
2014,13285,13,285,67456,12539,23942,4652,19290,16496,2435,67456,12539,67456,3424,9115,1832,4733,9825,2988
2014,13295,13,295,66416,13558,25458,3939,21519,,,66416,13558,66416,4993,8565,5422,5333,5895,2773
2014,13297,13,297,86644,14556,30355,4572,25783,23534,2825,86644,14556,86644,9274,5282,2892,2979,6707,2205
2014,13313,13,313,102762,23930,36388,5350,31038,26965,4924,102762,23930,102762,6009,17921,5945,6639,6894,2937
2014,15001,15,001,190993,34187,65178,12360,52818,42855,5385,190993,34187,190993,17684,16503,8811,10068,9807,4005
2014,15003,15,003,959920,93182,309002,32528,276474,218443,14468,959920,93182,959920,42037,51145,35946,24819,47360,22254
2014,15007,15,007,69261,8273,22234,2053,20181,15704,1237,69261,8273,69261,2587,5686,2659,2291,3543,1385
2014,15009,15,009,159578,21070,54303,5826,48477,37149,3443,159578,21070,159578,6363,14707,5294,5662,8406,4137
2014,16001,16,001,418334,46836,159896,13731,146165,106650,7712,418334,46836,418334,19219,27617,18275,15471,30501,8886
2014,16005,16,005,80780,13689,30240,4281,25959,20919,2263,80780,13689,80780,6537,7152,3719,5167,6787,4101
2014,16019,16,019,107048,17881,36420,4715,31705,26447,3154,107048,17881,107048,4301,13580,5964,7221,6511,2916
2014,16027,16,027,200235,36530,66791,10603,56188,48227,5454,200235,36530,200235,18802,17728,19252,14359,15750,5765
2014,16055,16,055,145650,17527,56177,6831,49346,37844,3226,145650,17527,145650,6884,10643,6768,3718,18469,4396
2014,16083,16,083,79596,10172,29482,3836,25646,,,79596,10172,79596,3968,6204,6090,9046,8209,895
2014,17001,17,001,65128,9578,27657,3716,23941,16583,1416,65128,9578,65128,3535,6043,2998,2737,4011,2230
2014,17019,17,019,191612,45010,81347,8381,72966,42694,5687,191612,45010,191612,29480,15530,8730,7693,11753,4894
2014,17031,17,031,5158823,879080,1938055,315633,1622422,1182464,156894,5158823,879080,5158823,404607,474473,255483,265419,323091,131495
2014,17037,17,037,98956,14912,36965,4313,32652,22872,1856,98956,14912,98956,7390,7522,4960,5517,5640,3854
2014,17043,17,043,919513,72880,338548,22071,316477,240336,12993,919513,72880,919513,32316,40564,25905,24825,39343,19703
2014,17089,17,089,519507,55237,172350,19110,153240,128372,9683,519507,55237,519507,23576,31661,17970,20958,30942,13321
2014,17091,17,091,106624,14630,40732,6827,33905,27652,2501,106624,14630,106624,6247,8383,6338,5243,4498,1492
2014,17093,17,093,121069,7664,39923,2941,36982,,,121069,7664,121069,6198,1466,2981,636,9070,3445
2014,17097,17,097,686357,64085,240673,23301,217372,177627,13116,686357,64085,686357,28277,35808,22811,24415,34813,15849
2014,17099,17,099,107744,14370,42956,5622,37334,28349,2731,107744,14370,107744,6410,7960,5848,3281,5750,2789
2014,17111,17,111,305390,19443,109417,7113,102304,82133,3376,305390,19443,305390,6169,13274,9912,8514,9586,6922
2014,17113,17,113,166708,24812,66361,6772,59589,40353,3419,166708,24812,166708,14416,10396,6300,8871,6529,3204
2014,17115,17,115,104411,16054,44063,6397,37666,27387,3109,104411,16054,104411,7685,8369,4628,3476,5069,3658
2014,17119,17,119,261149,33948,106253,14890,91363,67580,7042,261149,33948,261149,15428,18520,10806,9613,14785,6177
