year,fips,state_fips,county_fips,median_household_income,aggregate_household_income,hh_income_universe,hh_income_under_10k,hh_income_10k_to_15k,hh_income_15k_to_20k,hh_income_20k_to_25k,hh_income_25k_to_30k,hh_income_30k_to_35k,hh_income_35k_to_40k,hh_income_40k_to_45k,hh_income_45k_to_50k,hh_income_50k_to_60k,hh_income_60k_to_75k,hh_income_75k_to_100k,hh_income_100k_to_125k,hh_income_125k_to_150k,hh_income_150k_to_200k,hh_income_200k_plus,per_capita_income,gini_index
2014,05069,05,069,32433,1416859000,28494,3450,2627,2747,2391,1865,1514,2133,1086,834,2196,1705,2692,1575,596,663,420,20470,0.4907
2014,05085,05,085,54545,1670491800,26688,1060,1681,1130,845,1309,2137,1201,1236,1874,2586,2558,4478,2488,993,959,153,23454,0.3730
2014,05119,05,119,44860,9863438300,152045,11530,9921,9121,10386,8615,9277,9614,7710,5969,11631,13726,17403,9972,6195,5747,5228,27122,0.4764
2014,05125,05,125,53926,2774097000,41587,1280,1223,2139,2472,2129,2263,2904,2713,1702,4776,4074,5726,3655,1722,1787,1022,25219,0.3872
2014,05131,05,131,38418,2967202400,48779,3416,4457,4404,3974,2979,3378,2892,1656,2011,3865,4982,3677,2106,2547,769,1666,24434,0.5137
2014,05143,05,143,45034,5658235200,81600,6521,5908,4944,5224,6043,3945,4525,3662,3646,6032,7992,8202,5470,2855,3216,3415,26307,0.5200
2014,05145,05,145,39340,1855644300,29146,3218,2191,2577,2457,1176,1621,1466,956,871,2664,2350,3359,1815,735,622,1068,23811,0.5382
2014,06001,06,001,77214,57578299900,563601,30296,24882,16891,22434,19399,23035,17168,18843,16832,36198,47335,66894,61480,42776,56570,62568,36977,0.4642
2014,06007,06,007,42365,5520015800,85366,7344,8428,6253,5398,3892,4477,4535,4283,2699,6661,6721,9062,5779,4178,2410,3246,25842,0.5128
2014,06013,06,013,80361,43692082000,387936,15727,14525,13351,12134,12556,12109,12442,15010,12479,25648,38068,46820,40289,32260,36367,48151,40141,0.4812
2014,06017,06,017,71113,6295992800,65804,2563,2251,2991,3666,2774,3090,3161,1941,1827,4490,5629,9130,6430,3298,5663,6900,35680,0.4673
